import time: self [us] | cumulative | imported package
import time:       453 |        453 |             docx.opc.packuri
import time:       558 |        558 |                 lxml
import time:      1029 |       1029 |                   lxml._elementpath
import time:       453 |        453 |                   rnc2rng
import time:      3789 |       5270 |                 lxml.etree
import time:       487 |       6313 |               docx.opc.oxml
import time:       531 |        531 |               docx.opc.rel
import time:       403 |        403 |               docx.opc.shared
import time:       379 |        379 |                       docx.oxml.exceptions
import time:       365 |        365 |                       docx.oxml.ns
import time:       836 |       1580 |                     docx.oxml.xmlchemy
import time:       552 |       2131 |                   docx.oxml.drawing
import time:       398 |        398 |                   docx.oxml.parser
import time:       368 |        368 |                       docx.exceptions
import time:       750 |       1118 |                     docx.oxml.simpletypes
import time:       745 |       1863 |                   docx.oxml.shape
import time:       973 |        973 |                   docx.oxml.shared
import time:       426 |        426 |                     docx.oxml.text
import time:       357 |        357 |                           docx.enum
import time:       506 |        506 |                           docx.enum.base
import time:       779 |       1641 |                         docx.enum.dml
import time:      1354 |       1354 |                         docx.enum.text
import time:       874 |       3868 |                       docx.oxml.text.font
import time:       584 |       4452 |                     docx.oxml.text.run
import time:       594 |       5471 |                   docx.oxml.text.hyperlink
import time:       456 |        456 |                   docx.oxml.text.pagebreak
import time:       474 |        474 |                   docx.oxml.comments
import time:       781 |        781 |                   docx.oxml.coreprops
import time:      2142 |       2142 |                       typing_extensions
import time:       633 |        633 |                       docx.enum.section
import time:       645 |        645 |                         docx.enum.table
import time:       444 |        444 |                         docx.oxml.text.paragraph
import time:      1054 |       2143 |                       docx.oxml.table
import time:       725 |       5641 |                     docx.oxml.section
import time:       450 |       6090 |                   docx.oxml.document
import time:       551 |        551 |                   docx.oxml.numbering
import time:       384 |        384 |                   docx.oxml.settings
import time:      1392 |       1392 |                     docx.enum.style
import time:       702 |       2094 |                   docx.oxml.styles
import time:       779 |        779 |                   docx.oxml.text.parfmt
import time:       704 |      23143 |                 docx.oxml
import time:        20 |      23163 |               docx.oxml.parser
import time:       527 |      30935 |             docx.opc.part
import time:       414 |        414 |               docx.opc.parts
import time:       391 |        391 |               docx.opc.coreprops
import time:       553 |       1357 |             docx.opc.parts.coreprops
import time:       343 |        343 |                 docx.opc.exceptions
import time:       369 |        711 |               docx.opc.phys_pkg
import time:       476 |       1187 |             docx.opc.pkgreader
import time:       378 |        378 |               docx.opc.spec
import time:       398 |        775 |             docx.opc.pkgwriter
import time:       430 |      35134 |           docx.opc.package
import time:       379 |        379 |             docx.parts
import time:       559 |        937 |           docx.parts.image
import time:       395 |      41201 |         docx.package
import time:       591 |      42811 |       docx.api
import time:       361 |        361 |               docx.text
import time:       358 |        358 |                 docx.styles
import time:       328 |        328 |                     docx.dml
import time:       498 |        826 |                   docx.dml.color
import time:       453 |       1278 |                 docx.text.font
import time:       387 |        387 |                   docx.text.tabstops
import time:       376 |        762 |                 docx.text.parfmt
import time:       614 |       3011 |               docx.styles.style
import time:       377 |        377 |                   docx.drawing
import time:       396 |        396 |                     docx.enum.shape
import time:       365 |        761 |                   docx.shape
import time:       329 |        329 |                   docx.text.pagebreak
import time:       921 |       2387 |                 docx.text.run
import time:       333 |       2719 |               docx.text.hyperlink
import time:       625 |       6714 |             docx.text.paragraph
import time:       354 |       7068 |           docx.blkcntnr
import time:       364 |       7432 |         docx.comments
import time:       406 |        406 |         docx.parts.story
import time:       349 |       8185 |       docx.parts.comments
import time:       339 |        339 |             docx.parts.hdrftr
import time:       571 |        571 |             docx.table
import time:       525 |       1434 |           docx.section
import time:       401 |       1834 |         docx.document
import time:       362 |        362 |         docx.parts.numbering
import time:       308 |        308 |           docx.settings
import time:       336 |        643 |         docx.parts.settings
import time:       327 |        327 |             docx.styles.latent
import time:       331 |        658 |           docx.styles.styles
import time:       354 |       1012 |         docx.parts.styles
import time:       446 |       4296 |       docx.parts.document
import time:       659 |      55949 |     docx
import time:     24859 |     186735 |   handlers.trading
import time:       567 |        567 |   handlers.pending
import time:      1226 |       1226 |     infra.pseudo_pendings
import time:       350 |       1576 |   handlers.status
import time:       324 |     189200 | handlers.menu
import time:       432 |        432 |   trade_manager
import time:       394 |        826 | handlers.charts
import time:       362 |        362 | handlers.journal
import time:       309 |        309 | handlers.help
import time:       499 |        499 |     httpcore._models
import time:       354 |        354 |             httpcore._backends
import time:       423 |        423 |             httpcore._exceptions
import time:       328 |        328 |             httpcore._utils
import time:       383 |        383 |             httpcore._backends.base
import time:       615 |       2102 |           httpcore._backends.sync
import time:       444 |        444 |               certifi.core
import time:       558 |       1002 |             certifi
import time:       297 |       1298 |           httpcore._ssl
import time:       425 |        425 |                     attrs.converters
import time:       300 |        300 |                     attrs.exceptions
import time:       355 |        355 |                     attrs.filters
import time:       254 |        254 |                     attrs.setters
import time:       305 |        305 |                     attrs.validators
import time:       598 |       2234 |                   attrs
import time:       510 |        510 |                       sniffio._version
import time:       322 |        322 |                       sniffio._impl
import time:       567 |       1398 |                     sniffio
import time:       572 |       1969 |                   trio._util
import time:       370 |        370 |                   trio._core._wakeup_socketpair
import time:      1316 |       5888 |                 trio._core._entry_queue
import time:       703 |        703 |                 trio._core._exceptions
import time:       342 |        342 |                   trio._core._run_context
import time:       962 |       1303 |                 trio._core._ki
import time:       351 |        351 |                         outcome._util
import time:      1434 |       1785 |                       outcome._impl
import time:       366 |        366 |                       outcome._version
import time:       621 |       2771 |                     outcome
import time:       766 |        766 |                       sortedcontainers.sortedlist
import time:       520 |        520 |                       sortedcontainers.sortedset
import time:       484 |        484 |                       sortedcontainers.sorteddict
import time:       599 |       2367 |                     sortedcontainers
import time:       609 |        609 |                     trio._abc
import time:       725 |        725 |                     trio._deprecate
import time:       804 |        804 |                     trio._core._asyncgens
import time:       325 |        325 |                     trio._core._concat_tb
import time:       333 |        333 |                     trio._core._instrumentation
import time:       842 |        842 |                     trio._core._parking_lot
import time:      2556 |       2556 |                     trio._core._thread_cache
import time:       965 |        965 |                     trio._core._traps
import time:       449 |        449 |                     trio._core._generated_io_windows
import time:       305 |        305 |                       trio._core._io_common
import time:       290 |        290 |                             cffi.lock
import time:       316 |        316 |                             cffi.error
import time:       610 |        610 |                             cffi.model
import time:       819 |       2035 |                           cffi.api
import time:       480 |       2514 |                         cffi
import time:       442 |        442 |                           cffi.commontypes
import time:        73 |         73 |                           cffi._pycparser
import time:       349 |        349 |                               pycparser.ply
import time:       940 |        940 |                               pycparser.ply.yacc
import time:       749 |        749 |                               pycparser.c_ast
import time:       554 |        554 |                                 pycparser.ply.lex
import time:       492 |       1045 |                               pycparser.c_lexer
import time:       408 |        408 |                               pycparser.plyparser
import time:       316 |        316 |                               pycparser.ast_transforms
import time:      1019 |       4824 |                             pycparser.c_parser
import time:       500 |       5324 |                           pycparser
import time:      2076 |       7913 |                         cffi.cparser
import time:       488 |        488 |                         pycparser.lextab
import time:      3237 |       3237 |                         pycparser.yacctab
import time:     19269 |      33420 |                       trio._core._windows_cffi
import time:      2701 |      36425 |                     trio._core._io_windows
import time:       651 |        651 |                     trio._core._generated_instrumentation
import time:       481 |        481 |                     trio._core._generated_run
import time:      4717 |      55014 |                   trio._core._run
import time:      1035 |      56048 |                 trio._core._local
import time:       486 |        486 |                 trio._core._mock_clock
import time:       868 |        868 |                 trio._core._unbounded_queue
import time:       720 |      66014 |               trio._core
import time:       419 |        419 |               trio.abc
import time:      2192 |       2192 |                   trio._sync
import time:      1746 |       3938 |                 trio._threads
import time:       388 |       4326 |               trio.from_thread
import time:       827 |        827 |                   trio._highlevel_generic
import time:       347 |        347 |                       trio._wait_for_object
import time:       551 |        897 |                     trio._subprocess_platform.windows
import time:       413 |        413 |                     trio._windows_pipes
import time:       534 |       1843 |                   trio._subprocess_platform
import time:       707 |       3376 |                 trio._subprocess
import time:       463 |       3839 |               trio.lowlevel
import time:       694 |        694 |                 trio._socket
import time:       659 |       1353 |               trio.socket
import time:       347 |        347 |               trio.to_thread
import time:      1840 |       1840 |               trio._channel
import time:      2718 |       2718 |               trio._dtls
import time:       594 |        594 |               trio._file_io
import time:       337 |        337 |               trio._highlevel_open_tcp_listeners
import time:       315 |        315 |               trio._highlevel_open_tcp_stream
import time:       316 |        316 |               trio._highlevel_open_unix_stream
import time:       343 |        343 |               trio._highlevel_serve_listeners
import time:       433 |        433 |               trio._highlevel_socket
import time:       309 |        309 |               trio._highlevel_ssl_helpers
import time:       570 |        570 |               trio._path
import time:       368 |        368 |               trio._signals
import time:       594 |        594 |               trio._ssl
import time:       396 |        396 |               trio._timeouts
import time:       290 |        290 |               trio._version
import time:      1409 |      87120 |             trio
import time:       474 |        474 |                 anyio._core
import time:       473 |        946 |               anyio._core._eventloop
import time:       373 |        373 |               anyio._core._exceptions
import time:       600 |        600 |                     anyio.abc._eventloop
import time:       312 |        312 |                     anyio.abc._resources
import time:       303 |        303 |                       anyio._core._typedattr
import time:       351 |        351 |                         anyio.abc._tasks
import time:       714 |       1064 |                       anyio.abc._streams
import time:       534 |       1901 |                     anyio.abc._sockets
import time:       354 |        354 |                     anyio.abc._subprocesses
import time:       309 |        309 |                     anyio.abc._testing
import time:       840 |        840 |                       anyio.lowlevel
import time:       429 |        429 |                       anyio._core._tasks
import time:       316 |        316 |                       anyio._core._testing
import time:      2016 |       3599 |                     anyio._core._synchronization
import time:       787 |        787 |                     anyio.from_thread
import time:       567 |       8427 |                   anyio.abc
import time:       295 |       8722 |                 anyio.to_thread
import time:       683 |       9404 |               anyio._core._fileio
import time:       335 |        335 |               anyio._core._resources
import time:       272 |        272 |               anyio._core._signals
import time:       303 |        303 |                   anyio.streams
import time:      1648 |       1950 |                 anyio.streams.stapled
import time:       965 |        965 |                 anyio.streams.tls
import time:       466 |       3380 |               anyio._core._sockets
import time:      1269 |       1269 |                 anyio.streams.memory
import time:       395 |       1664 |               anyio._core._streams
import time:       485 |        485 |               anyio._core._subprocesses
import time:       646 |        646 |               anyio._core._tempfile
import time:       738 |      18240 |             anyio
import time:       641 |     106001 |           httpcore._synchronization
import time:       449 |        449 |           httpcore._trace
import time:       293 |        293 |                   h11._abnf
import time:       443 |        443 |                     h11._util
import time:       660 |       1102 |                   h11._headers
import time:      2295 |       3690 |                 h11._events
import time:       425 |        425 |                   h11._receivebuffer
import time:       523 |        523 |                   h11._state
import time:      1032 |       1978 |                 h11._readers
import time:       505 |        505 |                 h11._writers
import time:       808 |       6979 |               h11._connection
import time:       298 |        298 |               h11._version
import time:       588 |       7864 |             h11
import time:       330 |        330 |             httpcore._sync.interfaces
import time:       657 |       8851 |           httpcore._sync.http11
import time:       683 |     119382 |         httpcore._sync.connection
import time:       448 |        448 |         httpcore._sync.connection_pool
import time:       415 |        415 |         httpcore._sync.http_proxy
import time:       334 |        334 |             h2
import time:        20 |        354 |           h2.config
import time:       441 |        795 |         httpcore._sync.http2
import time:       436 |        436 |           socksio
import time:       594 |       1030 |         httpcore._sync.socks_proxy
import time:       464 |     122533 |       httpcore._sync
import time:        20 |     122552 |     httpcore._sync.connection_pool
import time:       534 |     123584 |   httpcore._api
import time:       321 |        321 |       httpcore._backends.auto
import time:       356 |        356 |         httpcore._async.interfaces
import time:       509 |        864 |       httpcore._async.http11
import time:       600 |       1785 |     httpcore._async.connection
import time:       424 |        424 |     httpcore._async.connection_pool
import time:       440 |        440 |     httpcore._async.http_proxy
import time:       351 |        351 |         h2
import time:        25 |        375 |       h2.config
import time:       488 |        863 |     httpcore._async.http2
import time:       347 |        347 |       socksio
import time:       382 |        729 |     httpcore._async.socks_proxy
import time:       443 |       4681 |   httpcore._async
import time:       384 |        384 |   httpcore._backends.mock
import time:       360 |        360 |   httpcore._backends.anyio
import time:       375 |        375 |   httpcore._backends.trio
import time:       686 |     130069 | httpcore
import time:       396 |        396 |     importlib.resources._itertools
import time:       453 |        849 |   importlib.resources.readers
import time:       325 |       1173 | importlib.readers
[DEBUG] telegram.ext.ExtBot: Set Bot API URL: https://api.telegram.org/bot7636717444:AAGZqmM0UGuKdAfAqUDjilTvPWarCMcQeFU
[DEBUG] telegram.ext.ExtBot: Set Bot API File URL: https://api.telegram.org/file/bot7636717444:AAGZqmM0UGuKdAfAqUDjilTvPWarCMcQeFU
[INFO] __main__: Application built.
[INFO] __main__: Registering handlers...
[DEBUG] handlers.trading: poswatch=<class 'infra.position_watcher.PositionWatcher'> attrs=['__class__', '__delattr__', '__dict__', '__dir__', '__doc__', '__eq__', '__format__', '__ge__', '__getattribute__', '__getstate__', '__gt__', '__hash__', '__init__', '__init_subclass__', '__le__', '__lt__', '__module__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__setattr__', '__sizeof__', '__str__', '__subclasshook__', '__weakref__', '_adx', '_atr', '_bollinger_width_frac', '_compute_chandelier', '_decide_trail_mode', '_detect_regime', '_ema', '_fetch_df', '_highest_lowest', '_journal', '_load', '_modify_sl_tp', '_partial_close', '_position_side_name', '_round', '_save', '_scale_by_drawdown', '_tf_seconds', '_tf_to_mt5', 'path', 'poll_once', 'register_ticket_chat', 'ta', 'ticket_meta', 'ticket_to_chat', 'tickets']
[WARNING] handlers.trading: poswatch found, but no close-handler API detected
[INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[INFO] handlers.pending: [JOB _pending_tick] scheduled: every 10s, first in 7s
[INFO] __main__: Handlers registered by group: {-10: ['pending_callbacks'], 0: ['trade_command', 'trade_command', 'critic_command', 'monitor_command', 'journal_command', 'pnl_command', 'pending_command', 'pendings_list_command', '_resume', '_circuit', 'loadcharts_menu', 'start_menu', 'start_menu', 'status_command'], 1: ['exec_callback', 'menu_router', 'trade_menu_router', 'pending_menu_router', 'noop_button', 'button_router']}
[INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[INFO] __main__: [JOB _tick_job] scheduled: every 30s, first in 10s
[INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[INFO] __main__: [JOB _pos_tick] scheduled: every 20s, first in 12s
[INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[INFO] __main__: [JOB _pending_tick] already scheduled by handlers.pending
[INFO] __main__: Bot starting…
[DEBUG] asyncio: Using proactor: IocpProactor
[DEBUG] telegram.ext: Network Retry Loop (Bootstrap Initialize Application): Starting
[DEBUG] telegram.ext.ExtBot: Passing request through rate limiter of type <class 'telegram.ext._aioratelimiter.AIORateLimiter'> with rate_limit_args None
[DEBUG] telegram.ext.ExtBot: Calling Bot API endpoint `getMe` with parameters `{}`
[DEBUG] httpcore.connection: connect_tcp.started host='api.telegram.org' port=443 local_address=None timeout=5.0 socket_options=None
import time:       455 |        455 | concurrent.futures.thread
[DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001B63746C150>
[DEBUG] httpcore.connection: start_tls.started ssl_context=<ssl.SSLContext object at 0x000001B637448710> server_hostname='api.telegram.org' timeout=5.0
import time:      1334 |       1334 |   stringprep
import time:      1128 |       2462 | encodings.idna
[DEBUG] httpcore.connection: start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001B63746C310>
[DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_headers.complete
[DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_body.complete
[DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Thu, 14 Aug 2025 09:55:24 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'254'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
[INFO] httpx: HTTP Request: POST https://api.telegram.org/bot7636717444:AAGZqmM0UGuKdAfAqUDjilTvPWarCMcQeFU/getMe "HTTP/1.1 200 OK"
[DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_body.complete
[DEBUG] httpcore.http11: response_closed.started
[DEBUG] httpcore.http11: response_closed.complete
[DEBUG] telegram.ext.ExtBot: Call to Bot API endpoint `getMe` finished with return value `{'id': 7636717444, 'is_bot': True, 'first_name': 'MoneyBot', 'username': 'MasterAdvisorBot', 'can_join_groups': True, 'can_read_all_group_messages': False, 'supports_inline_queries': False, 'can_connect_to_business': False, 'has_main_web_app': False}`
[DEBUG] telegram.ext.ExtBot: This Bot is already initialized.
[DEBUG] telegram.ext.ExtBot: Passing request through rate limiter of type <class 'telegram.ext._aioratelimiter.AIORateLimiter'> with rate_limit_args None
[DEBUG] telegram.ext.ExtBot: Calling Bot API endpoint `getMe` with parameters `{}`
[DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_headers.complete
[DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_body.complete
[DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Thu, 14 Aug 2025 09:55:24 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'254'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
[INFO] httpx: HTTP Request: POST https://api.telegram.org/bot7636717444:AAGZqmM0UGuKdAfAqUDjilTvPWarCMcQeFU/getMe "HTTP/1.1 200 OK"
[DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_body.complete
[DEBUG] httpcore.http11: response_closed.started
[DEBUG] httpcore.http11: response_closed.complete
[DEBUG] telegram.ext.ExtBot: Call to Bot API endpoint `getMe` finished with return value `{'id': 7636717444, 'is_bot': True, 'first_name': 'MoneyBot', 'username': 'MasterAdvisorBot', 'can_join_groups': True, 'can_read_all_group_messages': False, 'supports_inline_queries': False, 'can_connect_to_business': False, 'has_main_web_app': False}`
[INFO] __main__: Bot ready: @MasterAdvisorBot (id=7636717444)
[INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[INFO] __main__: /help menu sync scheduled
[INFO] __main__: Building application...
[DEBUG] telegram.ext.Updater: Updater started (polling)
[DEBUG] telegram.ext: Network Retry Loop (Bootstrap delete Webhook): Starting
[DEBUG] telegram.ext.Updater: Deleting webhook
[DEBUG] telegram.ext.Updater: Dropping pending updates from Telegram server
[DEBUG] telegram.ext.ExtBot: Passing request through rate limiter of type <class 'telegram.ext._aioratelimiter.AIORateLimiter'> with rate_limit_args None
[DEBUG] telegram.ext.ExtBot: Calling Bot API endpoint `deleteWebhook` with parameters `{'drop_pending_updates': True}`
[DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_headers.complete
[DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_body.complete
[DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Thu, 14 Aug 2025 09:55:25 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'68'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
[INFO] httpx: HTTP Request: POST https://api.telegram.org/bot7636717444:AAGZqmM0UGuKdAfAqUDjilTvPWarCMcQeFU/deleteWebhook "HTTP/1.1 200 OK"
[DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_body.complete
[DEBUG] httpcore.http11: response_closed.started
[DEBUG] httpcore.http11: response_closed.complete
[DEBUG] telegram.ext.ExtBot: Call to Bot API endpoint `deleteWebhook` finished with return value `True`
[DEBUG] telegram.ext.Updater: Bootstrap done
[DEBUG] telegram.ext.Updater: Waiting for polling to start
[DEBUG] telegram.ext.Updater: Polling updates from Telegram started
[DEBUG] telegram.ext: Network Retry Loop (Polling Updates): Starting
[DEBUG] telegram.ext.ExtBot: Calling Bot API endpoint `getUpdates` with parameters `{'timeout': datetime.timedelta(seconds=10), 'offset': 0}`
[INFO] apscheduler.scheduler: Added job "_pending_tick" to job store "default"
[INFO] apscheduler.scheduler: Added job "_tick_job" to job store "default"
[INFO] apscheduler.scheduler: Added job "_pos_tick" to job store "default"
[INFO] apscheduler.scheduler: Added job "_cb_tick" to job store "default"
[INFO] apscheduler.scheduler: Added job "_sync_help_menu" to job store "default"
[INFO] apscheduler.scheduler: Scheduler started
[DEBUG] telegram.ext.Application: JobQueue started
[INFO] telegram.ext.Application: Application started
[DEBUG] httpcore.connection: connect_tcp.started host='api.telegram.org' port=443 local_address=None timeout=5.0 socket_options=None
[DEBUG] apscheduler.scheduler: Looking for jobs to run
[DEBUG] apscheduler.scheduler: Next wakeup is due at 2025-08-14 09:55:25.095084+00:00 (in 0.829964 seconds)
[DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001B63438D710>
[DEBUG] httpcore.connection: start_tls.started ssl_context=<ssl.SSLContext object at 0x000001B637448830> server_hostname='api.telegram.org' timeout=5.0
[DEBUG] httpcore.connection: start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001B6374C78D0>
[DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_headers.complete
[DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_body.complete
[DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
[DEBUG] apscheduler.scheduler: Looking for jobs to run
[INFO] apscheduler.scheduler: Removed job 7e14a72048d34ce289d777ff6bb8a2ac
[DEBUG] apscheduler.scheduler: Next wakeup is due at 2025-08-14 09:55:30.204666+00:00 (in 5.102129 seconds)
[INFO] apscheduler.executors.default: Running job "_sync_help_menu (trigger: date[2025-08-14 09:55:25 UTC], next run at: 2025-08-14 09:55:25 UTC)" (scheduled at 2025-08-14 09:55:25.095084+00:00)
[DEBUG] telegram.ext.ExtBot: Passing request through rate limiter of type <class 'telegram.ext._aioratelimiter.AIORateLimiter'> with rate_limit_args None
[DEBUG] telegram.ext.ExtBot: Calling Bot API endpoint `setMyCommands` with parameters `{'commands': [BotCommand(command='trade', description='Analyse a symbol and propose a trade (e.g. /trade XAUUSDc)'), BotCommand(command='analyse', description='Alias of /trade'), BotCommand(command='critic', description='Available command'), BotCommand(command='monitor', description='Available command'), BotCommand(command='journal', description='Show recent trade journal entries'), BotCommand(command='pnl', description='Available command'), BotCommand(command='pending', description='Place a pending order (buy/sell stop/limit)'), BotCommand(command='pendings', description='Available command'), BotCommand(command='resume', description='Resume trading (circuit breaker OFF)'), BotCommand(command='circuit', description='Available command'), BotCommand(command='loadcharts', description='Arrange and tile MT5 charts'), BotCommand(command='start', description='Start / reset the bot'), BotCommand(command='menu', description='Open the main menu'), BotCommand(command='status', description='Available command'), BotCommand(command='help', description='Show this help panel')]}`
[DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_headers.complete
[DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: send_request_body.complete
[DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Thu, 14 Aug 2025 09:55:26 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'25'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
[INFO] httpx: HTTP Request: POST https://api.telegram.org/bot7636717444:AAGZqmM0UGuKdAfAqUDjilTvPWarCMcQeFU/setMyCommands "HTTP/1.1 200 OK"
[DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_body.complete
[DEBUG] httpcore.http11: response_closed.started
[DEBUG] httpcore.http11: response_closed.complete
[DEBUG] telegram.ext.ExtBot: Call to Bot API endpoint `setMyCommands` finished with return value `True`
[INFO] apscheduler.executors.default: Job "_sync_help_menu (trigger: date[2025-08-14 09:55:25 UTC], next run at: 2025-08-14 09:55:25 UTC)" executed successfully
[PRINT] root effective level = DEBUG
[PRINT] strategy_logic import, logger eff=DEBUG
[PRINT] handlers.trading import, eff=DEBUG
[HB] alive t=5s
[DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 409, b'Conflict', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Thu, 14 Aug 2025 09:55:29 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'143'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
[INFO] httpx: HTTP Request: POST https://api.telegram.org/bot7636717444:AAGZqmM0UGuKdAfAqUDjilTvPWarCMcQeFU/getUpdates "HTTP/1.1 409 Conflict"
[DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
[DEBUG] httpcore.http11: receive_response_body.complete
[DEBUG] httpcore.http11: response_closed.started
[DEBUG] httpcore.http11: response_closed.complete
[DEBUG] telegram.ext: Network Retry Loop (Polling Updates): Failed run number 0 of -1. Retrying.
[ERROR] handlers.errors: Telegram error
Traceback (most recent call last):
  File "C:\mt5-gpt\venv\Lib\site-packages\telegram\ext\_utils\networkloop.py", line 115, in network_retry_loop
    if not await do_action():
           ^^^^^^^^^^^^^^^^^
  File "C:\mt5-gpt\venv\Lib\site-packages\telegram\ext\_utils\networkloop.py", line 108, in do_action
    return action_cb_task.result()
           ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\mt5-gpt\venv\Lib\site-packages\telegram\ext\_updater.py", line 340, in polling_action_cb
    updates = await self.bot.get_updates(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\mt5-gpt\venv\Lib\site-packages\telegram\ext\_extbot.py", line 669, in get_updates
    updates = await super().get_updates(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\mt5-gpt\venv\Lib\site-packages\telegram\_bot.py", line 4610, in get_updates
    await self._post(
  File "C:\mt5-gpt\venv\Lib\site-packages\telegram\_bot.py", line 697, in _post
    return await self._do_post(
           ^^^^^^^^^^^^^^^^^^^^
  File "C:\mt5-gpt\venv\Lib\site-packages\telegram\ext\_extbot.py", line 369, in _do_post
    return await super()._do_post(
