import time: self [us] | cumulative | imported package
import time:       335 |       1944 |               telegram._files.inputfile
import time:       474 |       2417 |             telegram._files._inputstorycontent
import time:       316 |        316 |               telegram._files.animation
import time:       310 |        310 |               telegram._files.audio
import time:       277 |        277 |               telegram._files.document
import time:       641 |       1543 |             telegram._files.inputmedia
import time:       376 |        376 |             telegram._files.inputprofilephoto
import time:       321 |        321 |             telegram._files.inputsticker
import time:       732 |       6086 |           telegram.request._requestparameter
import time:       362 |       6448 |         telegram.request._requestdata
import time:       609 |       8037 |       telegram.request._baserequest
import time:       429 |        429 |           httpx.__version__
import time:       626 |        626 |                   _hashlib
import time:        38 |         38 |                   _blake2
import time:       456 |       1120 |                 hashlib
import time:       433 |        433 |                   email
import time:       459 |        459 |                         email.errors
import time:       345 |        345 |                             email.quoprimime
import time:       275 |        275 |                             email.base64mime
import time:       400 |        400 |                                 quopri
import time:       404 |        804 |                               email.encoders
import time:       354 |       1157 |                             email.charset
import time:      1139 |       2915 |                           email.header
import time:       563 |        563 |                               calendar
import time:       367 |        929 |                             email._parseaddr
import time:       534 |       1463 |                           email.utils
import time:       416 |       4793 |                         email._policybase
import time:       621 |       5872 |                       email.feedparser
import time:       495 |       6367 |                     email.parser
import time:       410 |        410 |                       email._encoded_words
import time:       303 |        303 |                       email.iterators
import time:       575 |       1287 |                     email.message
import time:       894 |       8547 |                   http.client
import time:       346 |        346 |                     urllib.response
import time:       429 |        774 |                   urllib.error
import time:       409 |        409 |                   nturl2path
import time:      1297 |      11457 |                 urllib.request
import time:       563 |        563 |                 httpx._exceptions
import time:      1839 |       1839 |                   http.cookiejar
import time:       828 |        828 |                       httpx._types
import time:      1204 |       1204 |                         ipaddress
import time:       397 |       1600 |                       httpx._utils
import time:       513 |       2940 |                     httpx._multipart
import time:       404 |       3343 |                   httpx._content
import time:       844 |        844 |                       _brotli
import time:       554 |       1398 |                     brotli
import time:       420 |        420 |                     zstandard
import time:       542 |       2359 |                   httpx._decoders
import time:       847 |        847 |                   httpx._status_codes
import time:       736 |        736 |                         unicodedata
import time:       659 |        659 |                         idna.idnadata
import time:       343 |        343 |                         idna.intranges
import time:       887 |       2624 |                       idna.core
import time:       309 |        309 |                       idna.package_data
import time:       527 |       3458 |                     idna
import time:      1065 |       1065 |                     httpx._urlparse
import time:       473 |       4995 |                   httpx._urls
import time:       720 |      14102 |                 httpx._models
import time:       654 |      27894 |               httpx._auth
import time:       457 |        457 |               httpx._config
import time:       513 |        513 |                     httpx._transports.base
import time:       708 |       1220 |                   httpx._transports.asgi
import time:       544 |        544 |                   httpx._transports.default
import time:       504 |        504 |                   httpx._transports.mock
import time:       334 |        334 |                   httpx._transports.wsgi
import time:       427 |       3028 |                 httpx._transports
import time:        17 |       3045 |               httpx._transports.base
import time:       746 |      32141 |             httpx._client
import time:       314 |      32454 |           httpx._api
import time:       812 |        812 |                 gettext
import time:      2259 |       2259 |                         _ctypes
import time:       622 |        622 |                         ctypes._endian
import time:       885 |       3765 |                       ctypes
import time:      1133 |       1133 |                       ctypes.wintypes
import time:      1229 |       6126 |                     click._winconsole
import time:       546 |       6672 |                   click._compat
import time:       322 |        322 |                     click.globals
import time:       403 |        403 |                     click.utils
import time:       820 |       1544 |                   click.exceptions
import time:      1084 |       9299 |                 click.types
import time:       456 |        456 |                   click.parser
